station_id,station_name,latitude,longitude,year,month,date,rainfall_mm
CL503,Chalna,22.6012,89.5195,2017,1,2017-01-01,0.0
CL503,Chalna,22.6012,89.5195,2017,2,2017-02-01,0.0
CL503,Chalna,22.6012,89.5195,2017,3,2017-03-01,345.0
CL503,Chalna,22.6012,89.5195,2017,4,2017-04-01,270.0
CL503,Chalna,22.6012,89.5195,2017,5,2017-05-01,783.0
CL503,Chalna,22.6012,89.5195,2017,6,2017-06-01,212.7
CL503,Chalna,22.6012,89.5195,2017,7,2017-07-01,426.5
CL503,Chalna,22.6012,89.5195,2017,8,2017-08-01,236.9
CL503,Chalna,22.6012,89.5195,2017,9,2017-09-01,161.4
CL503,Chalna,22.6012,89.5195,2017,10,2017-10-01,587.5
CL503,Chalna,22.6012,89.5195,2017,11,2017-11-01,0.0
CL503,Chalna,22.6012,89.5195,2017,12,2017-12-01,53.0
CL503,Chalna,22.6012,89.5195,2018,1,2018-01-01,0.0
CL503,Chalna,22.6012,89.5195,2018,2,2018-02-01,0.0
CL503,Chalna,22.6012,89.5195,2018,3,2018-03-01,25.0
CL503,Chalna,22.6012,89.5195,2018,4,2018-04-01,157.0
CL503,Chalna,22.6012,89.5195,2018,5,2018-05-01,149.8
CL503,Chalna,22.6012,89.5195,2018,6,2018-06-01,416.2
CL503,Chalna,22.6012,89.5195,2018,7,2018-07-01,716.7
CL503,Chalna,22.6012,89.5195,2018,8,2018-08-01,583.5
CL503,Chalna,22.6012,89.5195,2018,9,2018-09-01,311.0
CL503,Chalna,22.6012,89.5195,2018,10,2018-10-01,11.0
CL503,Chalna,22.6012,89.5195,2018,11,2018-11-01,0.0
CL503,Chalna,22.6012,89.5195,2018,12,2018-12-01,0.0
CL503,Chalna,22.6012,89.5195,2019,1,2019-01-01,0.0
CL503,Chalna,22.6012,89.5195,2019,2,2019-02-01,40.5
CL503,Chalna,22.6012,89.5195,2019,3,2019-03-01,139.0
CL503,Chalna,22.6012,89.5195,2019,4,2019-04-01,30.0
