Feature,Unique_Values,Dominant_Ratio,Constant,Near_Constant
CCS,212,0.075,False,False
CDR,231,0.041666666666666664,False,False
CHIRPS,288,0.003472222222222222,False,False
ERA5,288,0.003472222222222222,False,False
GSMaP_Gauge,270,0.06597222222222222,False,False
GSMaP_MVK,269,0.028985507246376812,False,False
IMERG,279,0.017361111111111112,False,False
LST,248,0.011450381679389313,False,False
NDVI,273,0.006944444444444444,False,False
PDIR,229,0.04583333333333333,False,False
PERSIANN,223,0.07083333333333333,False,False
Distance_Sea_meter,6,0.16666666666666666,False,False
Land_Aspect_Degree_30m,6,0.16666666666666666,False,False
Land_Khulna_SRTM_DEM,6,0.16666666666666666,False,False
Land_Slope_Degree_30m,6,0.16666666666666666,False,False
month_sin,11,0.16666666666666666,False,False
month_cos,11,0.16666666666666666,False,False
latitude,6,0.16666666666666666,False,False
longitude,6,0.16666666666666666,False,False
