Feature_Set,Order,Feature
base_features,1,CCS
base_features,2,CDR
base_features,3,CHIRPS
base_features,4,ERA5
base_features,5,GSMaP_Gauge
base_features,6,GSMaP_MVK
base_features,7,IMERG
base_features,8,LST
base_features,9,NDVI
base_features,10,PDIR
base_features,11,PERSIANN
base_features,12,Distance_Sea_meter
base_features,13,Land_Aspect_Degree_30m
base_features,14,Land_Khulna_SRTM_DEM
base_features,15,Land_Slope_Degree_30m
base_features,16,month_sin
base_features,17,month_cos
base_features,18,latitude
base_features,19,longitude
experiment_A_complete_case,1,CCS
experiment_A_complete_case,2,CDR
experiment_A_complete_case,3,CHIRPS
experiment_A_complete_case,4,ERA5
experiment_A_complete_case,5,GSMaP_Gauge
experiment_A_complete_case,6,GSMaP_MVK
experiment_A_complete_case,7,IMERG
experiment_A_complete_case,8,LST
experiment_A_complete_case,9,NDVI
experiment_A_complete_case,10,PDIR
experiment_A_complete_case,11,PERSIANN
experiment_A_complete_case,12,Distance_Sea_meter
experiment_A_complete_case,13,Land_Aspect_Degree_30m
experiment_A_complete_case,14,Land_Khulna_SRTM_DEM
experiment_A_complete_case,15,Land_Slope_Degree_30m
experiment_A_complete_case,16,month_sin
experiment_A_complete_case,17,month_cos
experiment_A_complete_case,18,latitude
experiment_A_complete_case,19,longitude
experiment_B_hierarchical_imputation,1,CCS
experiment_B_hierarchical_imputation,2,CDR
experiment_B_hierarchical_imputation,3,CHIRPS
experiment_B_hierarchical_imputation,4,ERA5
experiment_B_hierarchical_imputation,5,GSMaP_Gauge
experiment_B_hierarchical_imputation,6,GSMaP_MVK
experiment_B_hierarchical_imputation,7,IMERG
experiment_B_hierarchical_imputation,8,LST
experiment_B_hierarchical_imputation,9,NDVI
experiment_B_hierarchical_imputation,10,PDIR
experiment_B_hierarchical_imputation,11,PERSIANN
experiment_B_hierarchical_imputation,12,Distance_Sea_meter
experiment_B_hierarchical_imputation,13,Land_Aspect_Degree_30m
experiment_B_hierarchical_imputation,14,Land_Khulna_SRTM_DEM
experiment_B_hierarchical_imputation,15,Land_Slope_Degree_30m
experiment_B_hierarchical_imputation,16,month_sin
experiment_B_hierarchical_imputation,17,month_cos
experiment_B_hierarchical_imputation,18,latitude
experiment_B_hierarchical_imputation,19,longitude
experiment_C_reduced_features,1,CHIRPS
experiment_C_reduced_features,2,ERA5
experiment_C_reduced_features,3,GSMaP_Gauge
experiment_C_reduced_features,4,GSMaP_MVK
experiment_C_reduced_features,5,IMERG
experiment_C_reduced_features,6,LST
experiment_C_reduced_features,7,NDVI
experiment_C_reduced_features,8,Distance_Sea_meter
experiment_C_reduced_features,9,Land_Aspect_Degree_30m
experiment_C_reduced_features,10,Land_Khulna_SRTM_DEM
experiment_C_reduced_features,11,Land_Slope_Degree_30m
experiment_C_reduced_features,12,month_sin
experiment_C_reduced_features,13,month_cos
experiment_C_reduced_features,14,latitude
experiment_C_reduced_features,15,longitude
experiment_D_without_GSMaP_Gauge,1,CCS
experiment_D_without_GSMaP_Gauge,2,CDR
experiment_D_without_GSMaP_Gauge,3,CHIRPS
experiment_D_without_GSMaP_Gauge,4,ERA5
experiment_D_without_GSMaP_Gauge,5,GSMaP_MVK
experiment_D_without_GSMaP_Gauge,6,IMERG
experiment_D_without_GSMaP_Gauge,7,LST
experiment_D_without_GSMaP_Gauge,8,NDVI
experiment_D_without_GSMaP_Gauge,9,PDIR
experiment_D_without_GSMaP_Gauge,10,PERSIANN
experiment_D_without_GSMaP_Gauge,11,Distance_Sea_meter
experiment_D_without_GSMaP_Gauge,12,Land_Aspect_Degree_30m
experiment_D_without_GSMaP_Gauge,13,Land_Khulna_SRTM_DEM
experiment_D_without_GSMaP_Gauge,14,Land_Slope_Degree_30m
experiment_D_without_GSMaP_Gauge,15,month_sin
experiment_D_without_GSMaP_Gauge,16,month_cos
experiment_D_without_GSMaP_Gauge,17,latitude
experiment_D_without_GSMaP_Gauge,18,longitude
experiment_E_correlation_reduced,1,GSMaP_MVK
experiment_E_correlation_reduced,2,IMERG
experiment_E_correlation_reduced,3,LST
experiment_E_correlation_reduced,4,NDVI
experiment_E_correlation_reduced,5,PDIR
experiment_E_correlation_reduced,6,Distance_Sea_meter
experiment_E_correlation_reduced,7,Land_Aspect_Degree_30m
experiment_E_correlation_reduced,8,Land_Khulna_SRTM_DEM
experiment_E_correlation_reduced,9,Land_Slope_Degree_30m
experiment_E_correlation_reduced,10,month_sin
experiment_E_correlation_reduced,11,month_cos
experiment_E_correlation_reduced,12,longitude
manual_reduced_feature_exclusions,1,CCS
manual_reduced_feature_exclusions,2,CDR
manual_reduced_feature_exclusions,3,PDIR
manual_reduced_feature_exclusions,4,PERSIANN
