Feature_1,Feature_2,Correlation,Absolute_Correlation
CDR,IMERG,0.9644797348631453,0.9644797348631453
CHIRPS,IMERG,0.9608693105020315,0.9608693105020315
CDR,CHIRPS,0.9569805914875674,0.9569805914875674
CCS,PDIR,0.9536652550718778,0.9536652550718778
GSMaP_Gauge,IMERG,0.9377002171756936,0.9377002171756936
Distance_Sea_meter,latitude,0.9371957109638266,0.9371957109638266
CDR,ERA5,0.93395280162515,0.93395280162515
ERA5,IMERG,0.9301502251328894,0.9301502251328894
CCS,CDR,0.908602321761019,0.908602321761019
CHIRPS,GSMaP_Gauge,0.9063834628873165,0.9063834628873165
PDIR,PERSIANN,0.901607981493525,0.901607981493525
