Split,Feature,Original_Missing,Filled_Station_Month,Filled_Calendar_Month,Filled_Global_Median,Remaining_Missing
train,CCS,48,0,48,0,0
train,CDR,48,0,48,0,0
train,CHIRPS,0,0,0,0,0
train,ERA5,0,0,0,0,0
train,GSMaP_Gauge,0,0,0,0,0
train,GSMaP_MVK,12,0,12,0,0
train,IMERG,0,0,0,0,0
train,LST,26,22,4,0,0
train,NDVI,0,0,0,0,0
train,PDIR,48,0,48,0,0
train,PERSIANN,48,0,48,0,0
train,Distance_Sea_meter,0,0,0,0,0
train,Land_Aspect_Degree_30m,0,0,0,0,0
train,Land_Khulna_SRTM_DEM,0,0,0,0,0
train,Land_Slope_Degree_30m,0,0,0,0,0
train,month_sin,0,0,0,0,0
train,month_cos,0,0,0,0,0
train,latitude,0,0,0,0,0
train,longitude,0,0,0,0,0
validation,CCS,12,0,12,0,0
validation,CDR,12,0,12,0,0
validation,CHIRPS,0,0,0,0,0
validation,ERA5,0,0,0,0,0
validation,GSMaP_Gauge,0,0,0,0,0
validation,GSMaP_MVK,3,0,3,0,0
validation,IMERG,0,0,0,0,0
validation,LST,10,9,1,0,0
validation,NDVI,0,0,0,0,0
validation,PDIR,12,0,12,0,0
validation,PERSIANN,12,0,12,0,0
validation,Distance_Sea_meter,0,0,0,0,0
validation,Land_Aspect_Degree_30m,0,0,0,0,0
validation,Land_Khulna_SRTM_DEM,0,0,0,0,0
validation,Land_Slope_Degree_30m,0,0,0,0,0
validation,month_sin,0,0,0,0,0
validation,month_cos,0,0,0,0,0
validation,latitude,0,0,0,0,0
validation,longitude,0,0,0,0,0
test,CCS,12,0,12,0,0
test,CDR,12,0,12,0,0
test,CHIRPS,0,0,0,0,0
test,ERA5,0,0,0,0,0
test,GSMaP_Gauge,0,0,0,0,0
test,GSMaP_MVK,3,0,3,0,0
test,IMERG,0,0,0,0,0
test,LST,11,11,0,0,0
test,NDVI,0,0,0,0,0
test,PDIR,12,0,12,0,0
test,PERSIANN,12,0,12,0,0
test,Distance_Sea_meter,0,0,0,0,0
test,Land_Aspect_Degree_30m,0,0,0,0,0
test,Land_Khulna_SRTM_DEM,0,0,0,0,0
test,Land_Slope_Degree_30m,0,0,0,0,0
test,month_sin,0,0,0,0,0
test,month_cos,0,0,0,0,0
test,latitude,0,0,0,0,0
test,longitude,0,0,0,0,0
