month,CCS,CDR,CHIRPS,ERA5,GSMaP_Gauge,GSMaP_MVK,IMERG,LST,NDVI,PDIR,PERSIANN,Distance_Sea_meter,Land_Aspect_Degree_30m,Land_Khulna_SRTM_DEM,Land_Slope_Degree_30m
1,6,6,0,0,0,0,0,0,0,6,6,0,0,0,0
2,6,6,0,0,0,0,0,0,0,6,6,0,0,0,0
3,6,6,0,0,0,0,0,0,0,6,6,0,0,0,0
4,6,6,0,0,0,0,0,0,0,6,6,0,0,0,0
5,6,6,0,0,0,0,0,0,0,6,6,0,0,0,0
6,6,6,0,0,0,0,0,8,0,6,6,0,0,0,0
7,6,6,0,0,0,0,0,20,0,6,6,0,0,0,0
8,6,6,0,0,0,18,0,18,0,6,6,0,0,0,0
9,6,6,0,0,0,0,0,1,0,6,6,0,0,0,0
10,6,6,0,0,0,0,0,0,0,6,6,0,0,0,0
11,6,6,0,0,0,0,0,0,0,6,6,0,0,0,0
12,6,6,0,0,0,0,0,0,0,6,6,0,0,0,0
