Feature,Valid_Count,Missing_Count,Missing_Percent,Missing_Category,Unique_Values
CCS,360,72,16.6667,High,313
CDR,360,72,16.6667,High,347
CHIRPS,432,0,0.0,None,432
ERA5,432,0,0.0,None,432
GSMaP_Gauge,432,0,0.0,None,412
GSMaP_MVK,414,18,4.1667,Low,407
IMERG,432,0,0.0,None,414
LST,385,47,10.8796,Moderate,356
NDVI,432,0,0.0,None,404
PDIR,360,72,16.6667,High,343
PERSIANN,360,72,16.6667,High,338
Distance_Sea_meter,432,0,0.0,None,6
Land_Aspect_Degree_30m,432,0,0.0,None,6
Land_Khulna_SRTM_DEM,432,0,0.0,None,6
Land_Slope_Degree_30m,432,0,0.0,None,6
