Feature,Pearson_Correlation,Spearman_Correlation,Absolute_Pearson
IMERG,0.8276175685303749,0.8862678300831534,0.8276175685303749
CHIRPS,0.8224497570344517,0.867998218473187,0.8224497570344517
GSMaP_Gauge,0.8075291202920889,0.8734668769590676,0.8075291202920889
CDR,0.7855024528578729,0.8579417705125416,0.7855024528578729
ERA5,0.7439708465735207,0.831054987395131,0.7439708465735207
PDIR,0.7212706855612614,0.8218254575329372,0.7212706855612614
CCS,0.7080007155052855,0.8045062795257651,0.7080007155052855
PERSIANN,0.661844052461846,0.7951727965431662,0.661844052461846
month_cos,-0.5423409770789578,-0.6953609168801783,0.5423409770789578
GSMaP_MVK,0.5148875359520985,0.6910687391759699,0.5148875359520985
month_sin,-0.4574487100963503,-0.3959763353591912,0.4574487100963503
LST,0.4233876691178132,0.5260899680604797,0.4233876691178132
Land_Aspect_Degree_30m,-0.12777631266848374,-0.0729574262289955,0.12777631266848374
Distance_Sea_meter,-0.12695518623642787,-0.10000822912708444,0.12695518623642787
latitude,-0.1002098986856556,-0.058849297733393535,0.1002098986856556
NDVI,0.06182611143409151,0.14394921384837628,0.06182611143409151
Land_Khulna_SRTM_DEM,-0.055148455830349295,-0.0550585049463144,0.055148455830349295
longitude,0.028557833056462176,0.02360351237003318,0.028557833056462176
Land_Slope_Degree_30m,-0.02662191645555856,-0.0244500000797693,0.02662191645555856
