Year,Month,Month_ID,Stack_File,Expected_Stations,Successful_Stations,Outside_Stations,Failed_Stations,Status,Error
2017,1,2017_01,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2017_01.tif,6,6,0,0,Success,
2017,2,2017_02,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2017_02.tif,6,6,0,0,Success,
2017,3,2017_03,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2017_03.tif,6,6,0,0,Success,
2017,4,2017_04,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2017_04.tif,6,6,0,0,Success,
2017,5,2017_05,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2017_05.tif,6,6,0,0,Success,
2017,6,2017_06,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2017_06.tif,6,6,0,0,Success,
2017,7,2017_07,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2017_07.tif,6,6,0,0,Success,
2017,8,2017_08,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2017_08.tif,6,6,0,0,Success,
2017,9,2017_09,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2017_09.tif,6,6,0,0,Success,
2017,10,2017_10,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2017_10.tif,6,6,0,0,Success,
2017,11,2017_11,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2017_11.tif,6,6,0,0,Success,
2017,12,2017_12,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2017_12.tif,6,6,0,0,Success,
2018,1,2018_01,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2018_01.tif,6,6,0,0,Success,
2018,2,2018_02,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2018_02.tif,6,6,0,0,Success,
2018,3,2018_03,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2018_03.tif,6,6,0,0,Success,
