Feature_1,Feature_2,Correlation,Absolute_Correlation
CDR,IMERG,0.9700494833728461,0.9700494833728461
CHIRPS,IMERG,0.9572813372114621,0.9572813372114621
CDR,CHIRPS,0.9569019630430594,0.9569019630430594
CCS,PDIR,0.9500139528865769,0.9500139528865769
CDR,ERA5,0.9464231678378316,0.9464231678378316
ERA5,IMERG,0.9426190383640474,0.9426190383640474
GSMaP_Gauge,IMERG,0.9202556635507959,0.9202556635507959
CCS,CDR,0.9137171728549046,0.9137171728549046
CCS,PERSIANN,0.9106975966103705,0.9106975966103705
PDIR,PERSIANN,0.909472427357567,0.909472427357567
CHIRPS,GSMaP_Gauge,0.9046726956557445,0.9046726956557445
CHIRPS,ERA5,0.9028826674608021,0.9028826674608021
CDR,PDIR,0.8997838046296347,0.8997838046296347
Distance_Sea_meter,Land_Aspect_Degree_30m,0.8934064529829705,0.8934064529829705
CDR,PERSIANN,0.8884837468888525,0.8884837468888525
CCS,CHIRPS,0.8870061349478117,0.8870061349478117
CCS,IMERG,0.878641846245068,0.878641846245068
CDR,GSMaP_Gauge,0.8720731076784327,0.8720731076784327
IMERG,PDIR,0.8696790644380782,0.8696790644380782
CCS,ERA5,0.8683966684549422,0.8683966684549422
CHIRPS,PDIR,0.8631491494793119,0.8631491494793119
ERA5,PDIR,0.8608539759237235,0.8608539759237235
ERA5,GSMaP_Gauge,0.8575314009925181,0.8575314009925181
ERA5,PERSIANN,0.8546481306888456,0.8546481306888456
