month,records,mean_rainfall_mm,median_rainfall_mm,min_rainfall_mm,max_rainfall_mm,std_rainfall_mm
1,36,0.0,0.0,0.0,0.0,0.0
2,36,54.82222222222222,57.5,0.0,185.0,53.25035807316826
3,36,65.03333333333333,47.95,0.0,345.0,62.11564790200384
4,36,96.06666666666666,92.9,14.9,270.0,49.18005402890195
5,36,170.01944444444445,148.8,6.9,783.0,119.91441667037716
6,36,229.45000000000002,219.2,51.1,624.0,110.59190747970666
7,36,446.7638888888889,425.5,259.0,720.0,123.46577120291334
8,36,329.8361111111111,328.35,78.0,583.5,114.42537469030144
9,36,178.5388888888889,193.3,11.3,393.0,74.033032310016
10,36,272.1305555555556,261.05,11.0,704.3,156.52058891394532
11,36,41.11666666666667,26.85,0.0,180.1,42.669591045614666
12,36,20.830555555555556,21.6,0.0,53.0,15.406025156123535
