Variable,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,Missing,Unique
latitude,432.0,22.71768333333333,0.09901025328328604,22.585,22.585,22.585,22.6012,22.73935,22.8093,22.8319,22.8319,22.8319,0,6
longitude,432.0,89.45016666666665,0.11042975489269496,89.3088,89.3088,89.3088,89.3182,89.467,89.55,89.59,89.59,89.59,0,6
year,432.0,2019.5,1.709805215429517,2017.0,2017.0,2017.0,2018.0,2019.5,2021.0,2022.0,2022.0,2022.0,0,6
month,432.0,6.5,3.456054910623328,1.0,1.0,1.0,3.75,6.5,9.25,12.0,12.0,12.0,0,12
month_sin,432.0,-1.644774851296528e-17,0.7079266154111065,-1.0,-1.0,-1.0,-0.5915063509461099,-6.123233995736765e-17,0.5915063509461096,1.0,1.0,1.0,0,11
month_cos,432.0,-4.5231308410654523e-17,0.7079266154111065,-1.0,-1.0,-1.0,-0.59150635094611,-6.123233995736764e-17,0.5915063509461097,1.0,1.0,1.0,0,11
rainfall_mm,432.0,158.7173611111111,159.7669000954389,0.0,0.0,0.0,29.8,109.45,237.39999999999998,460.5449999999999,671.4999999999999,783.0,0,336
CCS,360.0,129.5107275965106,151.24714354060683,0.0,0.0,0.0,3.114331901073456,62.67788314819336,244.66490173339844,416.6460388183595,568.4303240966808,728.1311645507812,72,313
CDR,360.0,165.27674677298506,153.08543670721747,0.0,0.0,0.507633027434349,17.012054443359375,134.9304428100586,285.5834274291992,426.2784225463868,540.3476293945315,566.847900390625,72,347
CHIRPS,432.0,146.06212733492808,147.89238229960478,1.8879338502883911,2.6262393522262575,3.7739314913749693,15.16274905204773,110.25573348999023,240.79893112182614,421.1958663940429,616.4012976074218,670.9545288085938,0,432
ERA5,432.0,148.02471183529673,133.42353639673644,0.0025390104856342,0.029504768978804285,0.3688835740089416,20.267917156219482,130.59498596191406,252.25393676757812,384.4779144287109,466.8600021362305,483.3476257324219,0,432
GSMaP_Gauge,432.0,194.3471799065344,204.6589603687997,0.0,0.0,0.0030967216938733617,11.927714824676514,141.4808120727539,294.4044647216797,534.3133972167967,1044.7906127929687,1071.4490966796875,0,412
GSMaP_MVK,414.0,165.07323901233693,157.05478350562552,0.0,0.0,0.03247331818565724,15.538125276565552,139.03419494628906,270.1752471923828,449.8168212890625,648.2106445312501,769.3670043945312,18,407
IMERG,432.0,0.22174028101102505,0.20858625020112548,0.0,5.736615221394468e-06,0.0017201444541569252,0.0174426799640059,0.17703218758106232,0.377296857535839,0.5802486151456833,0.7973206692934036,0.8365566730499268,0,414
LST,385.0,28.29062766037978,3.2552026846742455,21.31999969482422,21.60280059814453,22.566000366210936,26.040000915527344,28.809999465942383,30.676666259765625,33.24333419799804,35.136400604248045,35.79999923706055,47,356
NDVI,432.0,0.47111898063923474,0.1165545547165156,0.1928000003099441,0.2373170042037964,0.2890049964189529,0.38767499476671213,0.4642999917268753,0.5506500005722046,0.6746050119400024,0.7133760207891464,0.7529000043869019,0,404
PDIR,360.0,184.68346897727912,190.406372238185,0.0,0.0,1.0,18.47316360473633,106.81161880493164,320.9010925292969,505.91882781982434,833.3391125488283,873.6295166015625,72,343
PERSIANN,360.0,132.58997191460287,131.96337367386747,0.0,0.0,0.0,6.904667973518372,104.53659057617188,214.50256729125977,382.5553649902344,548.0167016601566,637.8936767578125,72,338
Distance_Sea_meter,432.0,47004.893229166664,9458.87045659006,31467.640625,31467.640625,31467.640625,37890.0703125,49457.263671875,56018.875,57738.24609375,57738.24609375,57738.24609375,0,6
Land_Aspect_Degree_30m,432.0,140.48132960001627,17.11573035830786,108.51805877685548,108.51805877685548,108.51805877685548,129.93092346191406,146.3712921142578,154.1371307373047,157.5592803955078,157.5592803955078,157.5592803955078,0,6
Land_Khulna_SRTM_DEM,432.0,4.747191270192464,1.1123792616934238,3.4914283752441406,3.4914283752441406,3.4914283752441406,3.7103257179260254,4.511415004730225,5.504084587097168,6.754478931427002,6.754478931427002,6.754478931427002,0,6
Land_Slope_Degree_30m,432.0,1.8035050630569458,0.1984572388733963,1.5449576377868652,1.5449576377868652,1.5449576377868652,1.6002691984176636,1.8188228011131287,1.9329872131347656,2.105170726776123,2.105170726776123,2.105170726776123,0,6
raster_x,432.0,89.45016666666665,0.11042975489269496,89.3088,89.3088,89.3088,89.3182,89.467,89.55,89.59,89.59,89.59,0,6
raster_y,432.0,22.71768333333333,0.09901025328328604,22.585,22.585,22.585,22.6012,22.73935,22.8093,22.8319,22.8319,22.8319,0,6
valid_predictor_count,432.0,14.18287037037037,1.0359581918535805,11.0,11.31,13.0,13.0,15.0,15.0,15.0,15.0,15.0,0,5
missing_predictor_count,432.0,0.8171296296296297,1.0359581918535805,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.6899999999999977,4.0,0,5
