Variable,Q1,Q3,IQR_Lower_Bound,IQR_Upper_Bound,IQR_Outlier_Count,Extreme_Lower_Bound,Extreme_Upper_Bound,Extreme_Outlier_Count
rainfall_mm,29.8,237.39999999999998,-281.59999999999997,548.8,12,-593.0,860.1999999999999,0
CCS,3.114331901073456,244.66490173339844,-359.211522847414,606.9907564818859,3,-721.5373775959015,969.3166112303734,0
CDR,17.012054443359375,285.5834274291992,-385.8450050354004,688.440486907959,0,-788.7020645141602,1091.2975463867188,0
CHIRPS,15.16274905204773,240.79893112182614,-323.2915240526199,579.2532042264937,6,-661.7457971572875,917.7074773311614,0
ERA5,20.267917156219482,252.25393676757812,-327.7111122608185,600.2329661846161,0,-675.6901416778564,948.211995601654,0
GSMaP_Gauge,11.927714824676514,294.4044647216797,-411.78741002082825,718.1195895671844,9,-835.502534866333,1141.8347144126892,0
GSMaP_MVK,15.538125276565552,270.1752471923828,-366.41755759716034,652.1309300661087,4,-748.3732404708862,1034.0866129398346,0
IMERG,0.0174426799640059,0.377296857535839,-0.5223385863937438,0.9170781238935888,0,-1.0621198527514935,1.4568593902513385,0
LST,26.040000915527344,30.676666259765625,19.085002899169922,37.63166427612305,0,12.1300048828125,44.58666229248047,0
NDVI,0.38767499476671213,0.5506500005722046,0.14321248605847345,0.7951125092804433,0,-0.10125002264976524,1.039575017988682,0
PDIR,18.47316360473633,320.9010925292969,-435.1687297821045,774.5429859161377,5,-888.8106231689453,1228.1848793029785,0
PERSIANN,6.904667973518372,214.50256729125977,-304.4921810030937,525.8994162678719,5,-615.8890299797058,837.296265244484,0
Distance_Sea_meter,37890.0703125,56018.875,10696.86328125,83212.08203125,0,-16496.34375,110405.2890625,0
Land_Aspect_Degree_30m,129.93092346191406,154.1371307373047,93.62161254882812,190.44644165039062,0,57.31230163574219,226.75575256347656,0
Land_Khulna_SRTM_DEM,3.7103257179260254,5.504084587097168,1.0196874141693115,8.194722890853882,0,-1.6709508895874023,10.885361194610596,0
Land_Slope_Degree_30m,1.6002691984176636,1.9329872131347656,1.1011921763420105,2.4320642352104187,0,0.6021151542663574,2.9311412572860718,0
