,CCS,CDR,CHIRPS,ERA5,GSMaP_Gauge,GSMaP_MVK,IMERG,LST,NDVI,PDIR,PERSIANN,Distance_Sea_meter,Land_Aspect_Degree_30m,Land_Khulna_SRTM_DEM,Land_Slope_Degree_30m,month_sin,month_cos,latitude,longitude,rainfall_mm
CCS,1.0,0.9137171728549046,0.8870061349478117,0.8683966684549422,0.8173232832954314,0.7352247243375288,0.878641846245068,0.39922447312345577,0.07738101371859223,0.9500139528865769,0.9106975966103705,-0.0035296577789576144,0.0001545509802944796,0.010502095519516646,0.0077681602599075136,-0.5456332496361236,-0.6089607338208999,-0.006155562235830572,-0.010073663756373714,0.6891397745315468
CDR,0.9137171728549046,1.0,0.9569019630430594,0.9464231678378316,0.8720731076784327,0.7799401379254876,0.9700494833728461,0.49141715996989493,0.09381633782706265,0.8997838046296347,0.8884837468888525,-0.007777887592846516,-0.010771226958386308,-0.0041935384383685135,-0.009416165937420683,-0.5421196620773499,-0.7004854076495274,-0.0031883916110806445,0.007492662971481992,0.7943450452303475
CHIRPS,0.8870061349478117,0.9569019630430594,1.0,0.9028826674608021,0.9046726956557445,0.7489262149969578,0.9572813372114621,0.47607296335748917,0.06919013550128139,0.8631491494793119,0.8426079236481051,-0.00503474271879318,-0.007243566635847198,0.002029188178521709,0.0008099337827544549,-0.48943179898375844,-0.6793431474754852,-0.0032234267326658648,0.0032959194990563327,0.7987963116384202
ERA5,0.8683966684549422,0.9464231678378316,0.9028826674608021,1.0,0.8575314009925181,0.7683391444857219,0.9426190383640474,0.46139184863871036,0.11660514914082051,0.8608539759237235,0.8546481306888456,0.002198501280826391,0.0013320256670704266,0.002480330407841115,0.0007043725579697568,-0.5337252382139696,-0.6875899747446245,0.002588365013706844,0.0021311529524357144,0.7350788492090331
GSMaP_Gauge,0.8173232832954314,0.8720731076784327,0.9046726956557445,0.8575314009925181,1.0,0.720911485945499,0.9202556635507959,0.41255601509809703,0.09353441669555274,0.8181146259682318,0.7702825648735645,-0.017814300151007767,-0.03139150800112502,-0.007019819640152095,-0.007958312219919064,-0.5078107680681271,-0.5414092261812423,-0.0011545285739868018,0.041409600288079156,0.7754747768389139
GSMaP_MVK,0.7352247243375288,0.7799401379254876,0.7489262149969578,0.7683391444857219,0.720911485945499,1.0,0.7978121609956876,0.4167993008986052,0.13890178879341664,0.7565785140559241,0.8064985145168113,0.0026503098458954314,-0.011073713812771538,-0.0036210402278063266,-0.007810366222413133,-0.30788983560139865,-0.5387301171324118,0.01474514269008952,0.0360546444842702,0.5349381829834801
IMERG,0.878641846245068,0.9700494833728461,0.9572813372114621,0.9426190383640474,0.9202556635507959,0.7978121609956876,1.0,0.43734813589513427,0.11374609508330229,0.8696790644380782,0.8491772163021432,-0.030982783553596786,-0.027679352218703063,-0.019945856930684545,-0.02097276675984917,-0.5661602824002283,-0.6403157794636676,-0.02922186831200359,-0.004379660186098518,0.7885169991980808
LST,0.39922447312345577,0.49141715996989493,0.47607296335748917,0.46139184863871036,0.41255601509809703,0.4167993008986052,0.43734813589513427,1.0,0.16580852304316535,0.42150711003547053,0.4569524356398896,0.13770352251025203,0.08752200050993564,0.18856308895048857,0.16568035509612494,-0.07436506251388814,-0.7130341454673196,0.17881404202894707,0.16248565957067473,0.39614782688179
NDVI,0.07738101371859223,0.09381633782706265,0.06919013550128139,0.11660514914082051,0.09353441669555274,0.13890178879341664,0.11374609508330229,0.16580852304316535,1.0,0.09127715226225967,0.09079013867995786,0.4449281843503173,0.3850144720156584,0.21414801304346462,0.2709501162031801,-0.4315983047673815,0.06698257915010705,0.37826525476773865,-0.07089313293792374,0.05105588150474476
PDIR,0.9500139528865769,0.8997838046296347,0.8631491494793119,0.8608539759237235,0.8181146259682318,0.7565785140559241,0.8696790644380782,0.42150711003547053,0.09127715226225967,1.0,0.909472427357567,-0.06184295003321051,-0.06093639523748497,-0.04097514526567918,-0.031117349412079182,-0.5686542449543832,-0.5938286162601342,-0.05609076281649169,-0.004564732241233797,0.7133471700181988
PERSIANN,0.9106975966103705,0.8884837468888525,0.8426079236481051,0.8546481306888456,0.7702825648735645,0.8064985145168113,0.8491772163021432,0.4569524356398896,0.09079013867995786,0.909472427357567,1.0,-0.02285593344270904,-0.009795839181451292,-0.006860276787918662,-0.005866646068867106,-0.42670803932981943,-0.6887230550656267,-0.028035248923062108,-0.029915171985113793,0.669196575004808
Distance_Sea_meter,-0.0035296577789576144,-0.007777887592846516,-0.00503474271879318,0.002198501280826391,-0.017814300151007767,0.0026503098458954314,-0.030982783553596786,0.13770352251025203,0.4449281843503173,-0.06184295003321051,-0.02285593344270904,1.0,0.8934064529829705,0.6721330367657297,0.5760017376678961,2.6392479982863404e-17,-2.2374520343681216e-17,0.9371957109638257,0.1535325303870248,-0.13014515396937898
Land_Aspect_Degree_30m,0.0001545509802944796,-0.010771226958386308,-0.007243566635847198,0.0013320256670704266,-0.03139150800112502,-0.011073713812771538,-0.027679352218703063,0.08752200050993564,0.3850144720156584,-0.06093639523748497,-0.009795839181451292,0.8934064529829705,1.0,0.6248334288901615,0.6122491922403437,-4.180298987182763e-16,2.2313777858312867e-16,0.716668176432397,-0.20527362883984138,-0.12934546188801466
Land_Khulna_SRTM_DEM,0.010502095519516646,-0.0041935384383685135,0.002029188178521709,0.002480330407841115,-0.007019819640152095,-0.0036210402278063266,-0.019945856930684545,0.18856308895048857,0.21414801304346462,-0.04097514526567918,-0.006860276787918662,0.6721330367657297,0.6248334288901615,1.0,0.7954894829597211,-3.8140851626591255e-16,-7.196387099356838e-18,0.596126305729321,0.00972188669415507,-0.05714779930859826
Land_Slope_Degree_30m,0.0077681602599075136,-0.009416165937420683,0.0008099337827544549,0.0007043725579697568,-0.007958312219919064,-0.007810366222413133,-0.02097276675984917,0.16568035509612494,0.2709501162031801,-0.031117349412079182,-0.005866646068867106,0.5760017376678961,0.6122491922403437,0.7954894829597211,1.0,6.912245025301329e-16,-2.2001840929341094e-16,0.5183589818234438,-0.043274764287287215,-0.02225199716045912
month_sin,-0.5456332496361236,-0.5421196620773499,-0.48943179898375844,-0.5337252382139696,-0.5078107680681271,-0.30788983560139865,-0.5661602824002283,-0.07436506251388814,-0.4315983047673815,-0.5686542449543832,-0.42670803932981943,2.6392479982863404e-17,-4.180298987182763e-16,-3.8140851626591255e-16,6.912245025301329e-16,1.0,-2.867636826759099e-17,-1.0209319354351108e-14,1.885742359900035e-14,-0.4896849047257328
