Predictor,Minimum,Maximum,Mean,Median,Standard_Deviation,Missing_Values,Finite_Values,Negative_Values,Zero_Values,Unique_Values,Constant,Dominant_Ratio,Near_Constant,Q1,Q3,IQR_Lower_Bound,IQR_Upper_Bound,IQR_Outliers,Extreme_IQR_Outliers
CCS,0.0,728.1311645507812,129.5107275965106,62.67788314819336,151.24714354060683,72,360,0,28,313,False,0.07777777777777778,False,3.114331901073456,244.66490173339844,-359.211522847414,606.9907564818859,3,0
CDR,0.0,566.847900390625,165.27674677298506,134.9304428100586,153.08543670721747,72,360,0,14,347,False,0.03888888888888889,False,17.012054443359375,285.5834274291992,-385.8450050354004,688.440486907959,0,0
CHIRPS,1.8879338502883911,670.9545288085938,146.06212733492808,110.25573348999023,147.89238229960478,0,432,0,0,432,False,0.0023148148148148147,False,15.16274905204773,240.79893112182614,-323.2915240526199,579.2532042264937,6,0
ERA5,0.0025390104856342,483.3476257324219,148.02471183529673,130.59498596191406,133.42353639673644,0,432,0,0,432,False,0.0023148148148148147,False,20.267917156219482,252.25393676757812,-327.7111122608185,600.2329661846161,0,0
GSMaP_Gauge,0.0,1071.4490966796875,194.3471799065344,141.4808120727539,204.6589603687997,0,432,0,21,412,False,0.04861111111111111,False,11.927714824676514,294.4044647216797,-411.78741002082825,718.1195895671844,9,0
GSMaP_MVK,0.0,769.3670043945312,165.07323901233693,139.03419494628906,157.05478350562552,18,414,0,8,407,False,0.01932367149758454,False,15.538125276565552,270.1752471923828,-366.41755759716034,652.1309300661087,4,0
IMERG,0.0,0.8365566730499268,0.22174028101102505,0.17703218758106232,0.20858625020112548,0,432,0,5,414,False,0.018518518518518517,False,0.0174426799640059,0.377296857535839,-0.5223385863937438,0.9170781238935888,0,0
LST,21.31999969482422,35.79999923706055,28.29062766037978,28.809999465942383,3.2552026846742455,47,385,0,0,356,False,0.007792207792207792,False,26.040000915527344,30.676666259765625,19.085002899169922,37.63166427612305,0,0
NDVI,0.1928000003099441,0.7529000043869019,0.47111898063923474,0.4642999917268753,0.1165545547165156,0,432,0,0,404,False,0.004629629629629629,False,0.38767499476671213,0.5506500005722046,0.14321248605847345,0.7951125092804433,0,0
PDIR,0.0,873.6295166015625,184.68346897727912,106.81161880493164,190.406372238185,72,360,0,16,343,False,0.044444444444444446,False,18.47316360473633,320.9010925292969,-435.1687297821045,774.5429859161377,5,0
PERSIANN,0.0,637.8936767578125,132.58997191460287,104.53659057617188,131.96337367386747,72,360,0,22,338,False,0.06111111111111111,False,6.904667973518372,214.50256729125977,-304.4921810030937,525.8994162678719,5,0
Distance_Sea_meter,31467.640625,57738.24609375,47004.893229166664,49457.263671875,9458.87045659006,0,432,0,0,6,False,0.16666666666666666,False,37890.0703125,56018.875,10696.86328125,83212.08203125,0,0
Land_Aspect_Degree_30m,108.51805877685548,157.5592803955078,140.48132960001627,146.3712921142578,17.11573035830786,0,432,0,0,6,False,0.16666666666666666,False,129.93092346191406,154.1371307373047,93.62161254882812,190.44644165039062,0,0
Land_Khulna_SRTM_DEM,3.4914283752441406,6.754478931427002,4.747191270192464,4.511415004730225,1.1123792616934238,0,432,0,0,6,False,0.16666666666666666,False,3.7103257179260254,5.504084587097168,1.0196874141693115,8.194722890853882,0,0
Land_Slope_Degree_30m,1.5449576377868652,2.105170726776123,1.8035050630569458,1.8188228011131287,0.1984572388733963,0,432,0,0,6,False,0.16666666666666666,False,1.6002691984176636,1.9329872131347656,1.1011921763420105,2.4320642352104187,0,0
