,CCS,CDR,CHIRPS,ERA5,GSMaP_Gauge,GSMaP_MVK,IMERG,LST,NDVI,PDIR,PERSIANN,Distance_Sea_meter,Land_Aspect_Degree_30m,Land_Khulna_SRTM_DEM,Land_Slope_Degree_30m,month_sin,month_cos,latitude,longitude,rainfall_mm
CCS,1.0,0.9396887730115343,0.9270528213370194,0.9079804428143596,0.8972051354099284,0.825947375101948,0.9155489705658758,0.5144084969234989,0.16342853997519646,0.963596282124657,0.9397028369006362,0.005340915735804158,0.007448923185510932,0.010265901750589938,-0.0027413549794393023,-0.5126055877963771,-0.727350222544691,-0.00046319446204319244,-0.0035259496804512405,0.7772263362680337
CDR,0.9396887730115343,1.0,0.9742452544692666,0.9539330322687158,0.9412628805223358,0.8517056887193182,0.9696913970702261,0.5515592864562548,0.17381958069489267,0.9353465740556687,0.932995357004788,-0.005462391811862351,-0.007031175619421435,-0.004460638296192093,-0.007172933192393641,-0.45107405734181094,-0.7756713765925405,-0.0017577939048553587,0.007872270552389858,0.8483885232811578
CHIRPS,0.9270528213370194,0.9742452544692666,1.0,0.9364674295832299,0.9375222829539217,0.8515197553150368,0.9603123154288159,0.5848874203715689,0.14819605678187486,0.927264639924646,0.9194791504235055,-0.008564600527523636,-0.011238320996775937,-0.0030867342002750156,-0.003608435755251075,-0.3967918848442156,-0.7995466364418324,-0.0079559487133849,0.0004021449486273788,0.8428436693076217
ERA5,0.9079804428143596,0.9539330322687158,0.9364674295832299,1.0,0.939128107748094,0.8429241888390532,0.953850360441783,0.502130186094818,0.1926624574436021,0.9037941651515133,0.8991122177915061,0.008499387833151628,0.004510544694063844,0.006586482131572745,0.004684445212389196,-0.4587636843002959,-0.7487006737329519,0.008379831226802947,0.0043909880877151634,0.8058987648854438
GSMaP_Gauge,0.8972051354099284,0.9412628805223358,0.9375222829539217,0.939128107748094,1.0,0.8738070970855656,0.9685189400544852,0.4837354771289227,0.1974537650735712,0.907121638588925,0.8824038436016458,-0.007815102400083594,-0.023923561032801098,-0.012054170461325044,-0.004510803193372311,-0.48520424235842236,-0.672719407103452,0.007228154514680932,0.036912500348656306,0.8237078719027409
GSMaP_MVK,0.825947375101948,0.8517056887193182,0.8515197553150368,0.8429241888390532,0.8738070970855656,1.0,0.8680957445397366,0.465017182149171,0.19375250740989286,0.8477039362868621,0.8574550188863026,0.01955935692552889,-0.004373968268008302,0.005079463620412935,0.00429986809970322,-0.2834896377552452,-0.6047855472791619,0.025276390744066797,0.03364713684003045,0.6901229031055588
IMERG,0.9155489705658758,0.9696913970702261,0.9603123154288159,0.953850360441783,0.9685189400544852,0.8680957445397366,1.0,0.4827968089093144,0.19480666006060934,0.9179683907288867,0.9034204011296841,-0.018721555004205494,-0.014526187670897327,-0.009249372022397026,-0.014738129803020406,-0.5120841703076705,-0.7195882118751864,-0.019275865195912015,-0.0036519259688900124,0.8473275692564132
LST,0.5144084969234989,0.5515592864562548,0.5848874203715689,0.502130186094818,0.4837354771289227,0.465017182149171,0.4827968089093144,1.0,0.15513134797559808,0.5140084020338958,0.5260596281332698,0.14057419526640455,0.08056311290836131,0.13367866955529623,0.15782751476438064,0.026554624256066733,-0.7273452178650406,0.21264380848038278,0.16702873055194042,0.5363471782586445
NDVI,0.16342853997519646,0.17381958069489267,0.14819605678187486,0.1926624574436021,0.1974537650735712,0.19375250740989286,0.19480666006060934,0.15513134797559808,1.0,0.136529940786234,0.15972917031785433,0.4618748235133724,0.3117767822450105,0.2480530446667045,0.282691890251228,-0.43581356519082237,0.015449873880087336,0.35077401411111353,-0.07289156508083049,0.11623364381750349
PDIR,0.963596282124657,0.9353465740556687,0.927264639924646,0.9037941651515133,0.907121638588925,0.8477039362868621,0.9179683907288867,0.5140084020338958,0.136529940786234,1.0,0.933906566044241,-0.04166788418618286,-0.037481249417646,-0.031621850870258074,-0.020281079488216926,-0.49609601083360305,-0.7043985075156247,-0.03474056300031939,-0.007532162326238998,0.792431266672423
