Feature,Pearson_Correlation,Spearman_Correlation,Absolute_Pearson
CHIRPS,0.7987963116384202,0.8428436693076217,0.7987963116384202
CDR,0.7943450452303475,0.8483885232811578,0.7943450452303475
IMERG,0.7885169991980808,0.8473275692564132,0.7885169991980808
GSMaP_Gauge,0.7754747768389139,0.8237078719027409,0.7754747768389139
ERA5,0.7350788492090331,0.8058987648854438,0.7350788492090331
PDIR,0.7133471700181988,0.792431266672423,0.7133471700181988
CCS,0.6891397745315468,0.7772263362680337,0.6891397745315468
PERSIANN,0.669196575004808,0.7738704935210782,0.669196575004808
month_cos,-0.5587755732117952,-0.7071135319385603,0.5587755732117952
GSMaP_MVK,0.5349381829834801,0.6901229031055588,0.5349381829834801
month_sin,-0.4896849047257328,-0.42090605105385454,0.4896849047257328
LST,0.39614782688179,0.5363471782586445,0.39614782688179
Distance_Sea_meter,-0.13014515396937898,-0.10152179355063526,0.13014515396937898
Land_Aspect_Degree_30m,-0.12934546188801466,-0.07101299201386134,0.12934546188801466
latitude,-0.10312110441417584,-0.05829554726191562,0.10312110441417584
Land_Khulna_SRTM_DEM,-0.05714779930859826,-0.053183526447670305,0.05714779930859826
NDVI,0.05105588150474476,0.11623364381750349,0.05105588150474476
longitude,0.027067803934727724,0.018439206067996657,0.027067803934727724
Land_Slope_Degree_30m,-0.02225199716045912,-0.015738926702857495,0.02225199716045912
