Feature,VIF,High_VIF
longitude,inf,True
latitude,inf,True
Land_Slope_Degree_30m,inf,True
Land_Khulna_SRTM_DEM,inf,True
Land_Aspect_Degree_30m,inf,True
Distance_Sea_meter,inf,True
CDR,40.56456647589306,True
IMERG,38.57144537184474,True
CHIRPS,18.622035868882673,True
CCS,14.113149369632826,True
PDIR,12.667936842845329,True
GSMaP_Gauge,12.136999292389978,True
PERSIANN,11.571759943009884,True
ERA5,11.039422990970762,True
month_cos,9.12537668327279,False
GSMaP_MVK,4.877045267445884,False
month_sin,4.860395480714823,False
LST,3.8229685994609643,False
NDVI,3.066697663893728,False
