Year,Month,Month_ID,Status,Output_File,Band_Count,Processing_Seconds,Error
2017,1,2017_01,Success,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2017_01.tif,15,0.807,
2017,2,2017_02,Success,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2017_02.tif,15,0.604,
2017,3,2017_03,Success,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2017_03.tif,15,0.693,
2017,4,2017_04,Success,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2017_04.tif,15,0.638,
2017,5,2017_05,Success,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2017_05.tif,15,0.602,
2017,6,2017_06,Success,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2017_06.tif,15,0.555,
2017,7,2017_07,Success,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2017_07.tif,15,0.56,
2017,8,2017_08,Success,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2017_08.tif,15,0.665,
2017,9,2017_09,Success,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2017_09.tif,15,0.584,
2017,10,2017_10,Success,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2017_10.tif,15,0.557,
2017,11,2017_11,Success,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2017_11.tif,15,0.589,
2017,12,2017_12,Success,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2017_12.tif,15,0.673,
2018,1,2018_01,Success,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2018_01.tif,15,0.603,
2018,2,2018_02,Success,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2018_02.tif,15,0.623,
2018,3,2018_03,Success,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2018_03.tif,15,0.637,
2018,4,2018_04,Success,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2018_04.tif,15,0.625,
2018,5,2018_05,Success,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2018_05.tif,15,0.772,
2018,6,2018_06,Success,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2018_06.tif,15,0.593,
2018,7,2018_07,Success,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2018_07.tif,15,0.607,
2018,8,2018_08,Success,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2018_08.tif,15,0.61,
2018,9,2018_09,Success,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2018_09.tif,15,0.589,
2018,10,2018_10,Success,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2018_10.tif,15,0.584,
2018,11,2018_11,Success,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2018_11.tif,15,1.065,
