Feature,Importance,Importance_Type,Experiment,Model
GSMaP_Gauge,18.22879804622304,Native_Feature_Importance,B_full_imputed,CatBoost
IMERG,11.852631615836586,Native_Feature_Importance,B_full_imputed,CatBoost
CHIRPS,11.778427630436822,Native_Feature_Importance,B_full_imputed,CatBoost
month_sin,9.440152427092565,Native_Feature_Importance,B_full_imputed,CatBoost
CDR,7.594452101881216,Native_Feature_Importance,B_full_imputed,CatBoost
PDIR,5.359495863036292,Native_Feature_Importance,B_full_imputed,CatBoost
GSMaP_MVK,4.442858539550644,Native_Feature_Importance,B_full_imputed,CatBoost
ERA5,4.215895615900591,Native_Feature_Importance,B_full_imputed,CatBoost
month_cos,3.9785507046660613,Native_Feature_Importance,B_full_imputed,CatBoost
NDVI,3.867607776885698,Native_Feature_Importance,B_full_imputed,CatBoost
CCS,3.0958977025968935,Native_Feature_Importance,B_full_imputed,CatBoost
LST,3.0514759304789463,Native_Feature_Importance,B_full_imputed,CatBoost
Distance_Sea_meter,2.8757768064150513,Native_Feature_Importance,B_full_imputed,CatBoost
PERSIANN,2.2853562987662155,Native_Feature_Importance,B_full_imputed,CatBoost
Land_Aspect_Degree_30m,2.09423959306824,Native_Feature_Importance,B_full_imputed,CatBoost
Land_Khulna_SRTM_DEM,2.034495110333026,Native_Feature_Importance,B_full_imputed,CatBoost
latitude,1.4889990678335683,Native_Feature_Importance,B_full_imputed,CatBoost
longitude,1.4424286160171413,Native_Feature_Importance,B_full_imputed,CatBoost
Land_Slope_Degree_30m,0.872460552981385,Native_Feature_Importance,B_full_imputed,CatBoost
