Feature,Importance,Importance_Std,Importance_Type,Experiment,Model
GSMaP_Gauge,8.81881330552673,2.0129577357290724,Permutation_RMSE_Decrease,B_full_imputed,CatBoost
month_sin,5.721545754509949,1.1618401669197838,Permutation_RMSE_Decrease,B_full_imputed,CatBoost
CHIRPS,5.42510160084532,2.045196440570585,Permutation_RMSE_Decrease,B_full_imputed,CatBoost
IMERG,5.213913566691129,1.6689937199648621,Permutation_RMSE_Decrease,B_full_imputed,CatBoost
CDR,4.836162394826988,1.27219946202677,Permutation_RMSE_Decrease,B_full_imputed,CatBoost
PDIR,2.4884810923076826,0.6908844635517555,Permutation_RMSE_Decrease,B_full_imputed,CatBoost
month_cos,1.5897807265932642,0.7013209214173731,Permutation_RMSE_Decrease,B_full_imputed,CatBoost
CCS,1.5135335299359094,0.5480324230656245,Permutation_RMSE_Decrease,B_full_imputed,CatBoost
ERA5,1.1591188250744437,0.6339332544439958,Permutation_RMSE_Decrease,B_full_imputed,CatBoost
PERSIANN,1.1314505330551023,0.5079978190585089,Permutation_RMSE_Decrease,B_full_imputed,CatBoost
LST,0.99888372199147,0.6599067638498284,Permutation_RMSE_Decrease,B_full_imputed,CatBoost
GSMaP_MVK,0.9218542325108728,0.5378788742389493,Permutation_RMSE_Decrease,B_full_imputed,CatBoost
Distance_Sea_meter,0.6541353233589376,0.9702865033870033,Permutation_RMSE_Decrease,B_full_imputed,CatBoost
Land_Aspect_Degree_30m,0.5768167357525475,1.0269288280948563,Permutation_RMSE_Decrease,B_full_imputed,CatBoost
Land_Khulna_SRTM_DEM,0.4978583666732604,0.7032435901037648,Permutation_RMSE_Decrease,B_full_imputed,CatBoost
longitude,0.27996160211186,0.27845685808256415,Permutation_RMSE_Decrease,B_full_imputed,CatBoost
Land_Slope_Degree_30m,0.2230032478678202,0.30768989270778324,Permutation_RMSE_Decrease,B_full_imputed,CatBoost
latitude,0.19004707440791718,0.5208381088677905,Permutation_RMSE_Decrease,B_full_imputed,CatBoost
NDVI,-0.0936248506879887,0.6535476748895395,Permutation_RMSE_Decrease,B_full_imputed,CatBoost
