Feature,Importance,Importance_Type,Experiment,Model
LST,840.0,Native_Feature_Importance,B_full_imputed,LightGBM
GSMaP_Gauge,659.0,Native_Feature_Importance,B_full_imputed,LightGBM
CHIRPS,589.0,Native_Feature_Importance,B_full_imputed,LightGBM
NDVI,567.0,Native_Feature_Importance,B_full_imputed,LightGBM
IMERG,558.0,Native_Feature_Importance,B_full_imputed,LightGBM
ERA5,555.0,Native_Feature_Importance,B_full_imputed,LightGBM
CCS,553.0,Native_Feature_Importance,B_full_imputed,LightGBM
CDR,487.0,Native_Feature_Importance,B_full_imputed,LightGBM
PDIR,469.0,Native_Feature_Importance,B_full_imputed,LightGBM
GSMaP_MVK,441.0,Native_Feature_Importance,B_full_imputed,LightGBM
PERSIANN,382.0,Native_Feature_Importance,B_full_imputed,LightGBM
Distance_Sea_meter,200.0,Native_Feature_Importance,B_full_imputed,LightGBM
month_cos,159.0,Native_Feature_Importance,B_full_imputed,LightGBM
month_sin,158.0,Native_Feature_Importance,B_full_imputed,LightGBM
Land_Khulna_SRTM_DEM,122.0,Native_Feature_Importance,B_full_imputed,LightGBM
longitude,100.0,Native_Feature_Importance,B_full_imputed,LightGBM
Land_Aspect_Degree_30m,91.0,Native_Feature_Importance,B_full_imputed,LightGBM
Land_Slope_Degree_30m,44.0,Native_Feature_Importance,B_full_imputed,LightGBM
latitude,1.0,Native_Feature_Importance,B_full_imputed,LightGBM
