Feature,Importance,Importance_Std,Importance_Type,Experiment,Model
CHIRPS,26.53719629515596,6.693347241876121,Permutation_RMSE_Decrease,B_full_imputed,LightGBM
GSMaP_Gauge,14.666949760069391,2.5530930622074073,Permutation_RMSE_Decrease,B_full_imputed,LightGBM
Distance_Sea_meter,4.753170429947693,3.662058093922034,Permutation_RMSE_Decrease,B_full_imputed,LightGBM
CDR,4.665330595786943,1.0797182822048805,Permutation_RMSE_Decrease,B_full_imputed,LightGBM
IMERG,4.371581822020217,1.0369770339048758,Permutation_RMSE_Decrease,B_full_imputed,LightGBM
LST,2.699158646621927,1.2267533869106844,Permutation_RMSE_Decrease,B_full_imputed,LightGBM
month_sin,2.184948473845799,0.7097412809915777,Permutation_RMSE_Decrease,B_full_imputed,LightGBM
month_cos,2.184272475314845,1.6514743203637017,Permutation_RMSE_Decrease,B_full_imputed,LightGBM
longitude,0.5559612581182123,0.6842577417997816,Permutation_RMSE_Decrease,B_full_imputed,LightGBM
CCS,0.36785466501871206,1.1052962612067425,Permutation_RMSE_Decrease,B_full_imputed,LightGBM
NDVI,0.26409570679737066,1.5825145335862658,Permutation_RMSE_Decrease,B_full_imputed,LightGBM
Land_Aspect_Degree_30m,0.1793754066900192,0.3891323254140451,Permutation_RMSE_Decrease,B_full_imputed,LightGBM
Land_Slope_Degree_30m,0.11403465527454462,0.09266694158037725,Permutation_RMSE_Decrease,B_full_imputed,LightGBM
Land_Khulna_SRTM_DEM,0.1011204160591305,0.46546150685669024,Permutation_RMSE_Decrease,B_full_imputed,LightGBM
PDIR,0.011831423814975987,1.2542412212385992,Permutation_RMSE_Decrease,B_full_imputed,LightGBM
latitude,-0.038126105501475153,0.01999911561211755,Permutation_RMSE_Decrease,B_full_imputed,LightGBM
PERSIANN,-0.19386652577261146,0.9864134880697848,Permutation_RMSE_Decrease,B_full_imputed,LightGBM
GSMaP_MVK,-0.5346402897516318,0.9486666593161103,Permutation_RMSE_Decrease,B_full_imputed,LightGBM
ERA5,-0.8731656016907157,0.5712635678087562,Permutation_RMSE_Decrease,B_full_imputed,LightGBM
