Feature,Importance,Importance_Type,Experiment,Model
CHIRPS,0.2862406652658968,Native_Feature_Importance,B_full_imputed,Random_Forest
IMERG,0.2515866783467556,Native_Feature_Importance,B_full_imputed,Random_Forest
GSMaP_Gauge,0.18846665307775629,Native_Feature_Importance,B_full_imputed,Random_Forest
CDR,0.08221401056297184,Native_Feature_Importance,B_full_imputed,Random_Forest
NDVI,0.0281174212003712,Native_Feature_Importance,B_full_imputed,Random_Forest
PDIR,0.026937237775563304,Native_Feature_Importance,B_full_imputed,Random_Forest
ERA5,0.025263936752253014,Native_Feature_Importance,B_full_imputed,Random_Forest
GSMaP_MVK,0.022437576458065562,Native_Feature_Importance,B_full_imputed,Random_Forest
month_cos,0.013677716726229505,Native_Feature_Importance,B_full_imputed,Random_Forest
CCS,0.01235933817010877,Native_Feature_Importance,B_full_imputed,Random_Forest
LST,0.011937900233432011,Native_Feature_Importance,B_full_imputed,Random_Forest
PERSIANN,0.011423092401534461,Native_Feature_Importance,B_full_imputed,Random_Forest
month_sin,0.010164105939520567,Native_Feature_Importance,B_full_imputed,Random_Forest
Distance_Sea_meter,0.009759474239077446,Native_Feature_Importance,B_full_imputed,Random_Forest
Land_Khulna_SRTM_DEM,0.00579125283623419,Native_Feature_Importance,B_full_imputed,Random_Forest
Land_Aspect_Degree_30m,0.005681928797609373,Native_Feature_Importance,B_full_imputed,Random_Forest
longitude,0.0028778542462751227,Native_Feature_Importance,B_full_imputed,Random_Forest
Land_Slope_Degree_30m,0.0027549498551862005,Native_Feature_Importance,B_full_imputed,Random_Forest
latitude,0.0023082071151588873,Native_Feature_Importance,B_full_imputed,Random_Forest
