Feature,Importance,Importance_Std,Importance_Type,Experiment,Model
CHIRPS,69.44545842117782,9.81188876253537,Permutation_RMSE_Decrease,B_full_imputed,Random_Forest
GSMaP_Gauge,23.84335008876975,3.703713161107855,Permutation_RMSE_Decrease,B_full_imputed,Random_Forest
IMERG,14.562438806864709,4.9805145376061235,Permutation_RMSE_Decrease,B_full_imputed,Random_Forest
CDR,4.8346980021392305,1.745093851713409,Permutation_RMSE_Decrease,B_full_imputed,Random_Forest
ERA5,2.1626238703657505,2.229209175662276,Permutation_RMSE_Decrease,B_full_imputed,Random_Forest
month_cos,1.1263179550823732,2.045680771471873,Permutation_RMSE_Decrease,B_full_imputed,Random_Forest
month_sin,0.9397387148912605,0.4669305714155388,Permutation_RMSE_Decrease,B_full_imputed,Random_Forest
PERSIANN,0.8722162443778458,0.18801903726184058,Permutation_RMSE_Decrease,B_full_imputed,Random_Forest
GSMaP_MVK,0.6594163664378466,0.5669093445434784,Permutation_RMSE_Decrease,B_full_imputed,Random_Forest
Distance_Sea_meter,0.48226168886353377,1.0231571900848173,Permutation_RMSE_Decrease,B_full_imputed,Random_Forest
Land_Slope_Degree_30m,0.20162111205572159,0.13142593323956045,Permutation_RMSE_Decrease,B_full_imputed,Random_Forest
longitude,0.20028861553736496,0.15780746474872917,Permutation_RMSE_Decrease,B_full_imputed,Random_Forest
Land_Khulna_SRTM_DEM,0.12051648322668314,0.7393392738384985,Permutation_RMSE_Decrease,B_full_imputed,Random_Forest
LST,0.0880510054082156,0.4374059790683527,Permutation_RMSE_Decrease,B_full_imputed,Random_Forest
latitude,-0.03598787345898226,0.11619152430358282,Permutation_RMSE_Decrease,B_full_imputed,Random_Forest
Land_Aspect_Degree_30m,-0.19515357472341702,0.6875790721117289,Permutation_RMSE_Decrease,B_full_imputed,Random_Forest
CCS,-0.8092884529128336,0.5814909834792505,Permutation_RMSE_Decrease,B_full_imputed,Random_Forest
NDVI,-1.7821335812433015,1.6039079651825028,Permutation_RMSE_Decrease,B_full_imputed,Random_Forest
PDIR,-3.359672304703682,1.5584577883237514,Permutation_RMSE_Decrease,B_full_imputed,Random_Forest
