Feature,Importance,Importance_Type,Experiment,Model
CHIRPS,0.30318570137023926,Native_Feature_Importance,B_full_imputed,XGBoost
IMERG,0.18815523386001587,Native_Feature_Importance,B_full_imputed,XGBoost
GSMaP_Gauge,0.08985184133052826,Native_Feature_Importance,B_full_imputed,XGBoost
CDR,0.0840504914522171,Native_Feature_Importance,B_full_imputed,XGBoost
month_sin,0.04994712024927139,Native_Feature_Importance,B_full_imputed,XGBoost
Distance_Sea_meter,0.04743747040629387,Native_Feature_Importance,B_full_imputed,XGBoost
GSMaP_MVK,0.03251621872186661,Native_Feature_Importance,B_full_imputed,XGBoost
month_cos,0.029788313433527946,Native_Feature_Importance,B_full_imputed,XGBoost
Land_Aspect_Degree_30m,0.02543431520462036,Native_Feature_Importance,B_full_imputed,XGBoost
CCS,0.018624072894454002,Native_Feature_Importance,B_full_imputed,XGBoost
NDVI,0.018238229677081108,Native_Feature_Importance,B_full_imputed,XGBoost
ERA5,0.01787392608821392,Native_Feature_Importance,B_full_imputed,XGBoost
PDIR,0.01701715774834156,Native_Feature_Importance,B_full_imputed,XGBoost
longitude,0.015376378782093525,Native_Feature_Importance,B_full_imputed,XGBoost
PERSIANN,0.014097933657467365,Native_Feature_Importance,B_full_imputed,XGBoost
latitude,0.013934887945652008,Native_Feature_Importance,B_full_imputed,XGBoost
LST,0.013023702427744865,Native_Feature_Importance,B_full_imputed,XGBoost
Land_Khulna_SRTM_DEM,0.011144728399813175,Native_Feature_Importance,B_full_imputed,XGBoost
Land_Slope_Degree_30m,0.010302242822945118,Native_Feature_Importance,B_full_imputed,XGBoost
