Feature,Importance,Importance_Std,Importance_Type,Experiment,Model
CHIRPS,20.18147116370129,5.713245645664478,Permutation_RMSE_Decrease,B_full_imputed,XGBoost
GSMaP_Gauge,11.452362164252863,2.3420891573223797,Permutation_RMSE_Decrease,B_full_imputed,XGBoost
month_sin,6.289916470731828,1.185911708648494,Permutation_RMSE_Decrease,B_full_imputed,XGBoost
IMERG,6.00365321331552,2.9205808097488872,Permutation_RMSE_Decrease,B_full_imputed,XGBoost
CDR,5.1114015947767255,1.202446315632984,Permutation_RMSE_Decrease,B_full_imputed,XGBoost
Distance_Sea_meter,3.7867281030527815,4.132419830602074,Permutation_RMSE_Decrease,B_full_imputed,XGBoost
LST,0.8852409530768597,0.8128824925233571,Permutation_RMSE_Decrease,B_full_imputed,XGBoost
month_cos,0.6998526960877736,0.8489715243295651,Permutation_RMSE_Decrease,B_full_imputed,XGBoost
longitude,0.5741771024522564,0.16883153927450487,Permutation_RMSE_Decrease,B_full_imputed,XGBoost
Land_Slope_Degree_30m,0.13743592948679387,0.10160577077322692,Permutation_RMSE_Decrease,B_full_imputed,XGBoost
Land_Khulna_SRTM_DEM,0.05111430341682279,0.12470248616786032,Permutation_RMSE_Decrease,B_full_imputed,XGBoost
latitude,-0.033923816246258315,0.06332423196514837,Permutation_RMSE_Decrease,B_full_imputed,XGBoost
PERSIANN,-0.15684006918382162,0.36420468849868876,Permutation_RMSE_Decrease,B_full_imputed,XGBoost
NDVI,-0.17033570764097494,1.1379809268450627,Permutation_RMSE_Decrease,B_full_imputed,XGBoost
GSMaP_MVK,-0.2272371953359728,0.9082068615951304,Permutation_RMSE_Decrease,B_full_imputed,XGBoost
Land_Aspect_Degree_30m,-0.29177155909368274,0.505108103311728,Permutation_RMSE_Decrease,B_full_imputed,XGBoost
PDIR,-1.0034302596741473,0.7045758816917685,Permutation_RMSE_Decrease,B_full_imputed,XGBoost
ERA5,-1.3889077552456224,0.7898899594488598,Permutation_RMSE_Decrease,B_full_imputed,XGBoost
CCS,-2.0707975985880642,1.6115900096220812,Permutation_RMSE_Decrease,B_full_imputed,XGBoost
