Feature,Importance,Importance_Type,Experiment,Model
CHIRPS,22.94580889895123,Native_Feature_Importance,C_reduced_features,CatBoost
GSMaP_Gauge,17.023499022389146,Native_Feature_Importance,C_reduced_features,CatBoost
IMERG,10.668114450709117,Native_Feature_Importance,C_reduced_features,CatBoost
month_sin,10.260948664768064,Native_Feature_Importance,C_reduced_features,CatBoost
LST,7.4175233271199685,Native_Feature_Importance,C_reduced_features,CatBoost
GSMaP_MVK,5.891863789669227,Native_Feature_Importance,C_reduced_features,CatBoost
NDVI,4.419527156937334,Native_Feature_Importance,C_reduced_features,CatBoost
ERA5,4.259748609110175,Native_Feature_Importance,C_reduced_features,CatBoost
month_cos,3.601199605741036,Native_Feature_Importance,C_reduced_features,CatBoost
Distance_Sea_meter,3.0437737649754864,Native_Feature_Importance,C_reduced_features,CatBoost
Land_Khulna_SRTM_DEM,2.4081686686655672,Native_Feature_Importance,C_reduced_features,CatBoost
latitude,2.3264962089725647,Native_Feature_Importance,C_reduced_features,CatBoost
Land_Aspect_Degree_30m,2.263572601938088,Native_Feature_Importance,C_reduced_features,CatBoost
longitude,1.873862794757995,Native_Feature_Importance,C_reduced_features,CatBoost
Land_Slope_Degree_30m,1.5958924352950168,Native_Feature_Importance,C_reduced_features,CatBoost
