Feature,Importance,Importance_Std,Importance_Type,Experiment,Model
CHIRPS,7.123407204893676,3.4676982605071394,Permutation_RMSE_Decrease,C_reduced_features,CatBoost
GSMaP_Gauge,6.426066615322384,3.021968083015218,Permutation_RMSE_Decrease,C_reduced_features,CatBoost
month_sin,6.233765746985443,1.5015074973454996,Permutation_RMSE_Decrease,C_reduced_features,CatBoost
IMERG,4.918850078123893,2.706050751795293,Permutation_RMSE_Decrease,C_reduced_features,CatBoost
month_cos,0.9566993070386227,0.9755128100352746,Permutation_RMSE_Decrease,C_reduced_features,CatBoost
latitude,0.30129324294227305,0.5048282099760256,Permutation_RMSE_Decrease,C_reduced_features,CatBoost
Distance_Sea_meter,0.26988829522512175,1.0737626485641754,Permutation_RMSE_Decrease,C_reduced_features,CatBoost
Land_Slope_Degree_30m,0.1396571894588353,0.31062295982196325,Permutation_RMSE_Decrease,C_reduced_features,CatBoost
GSMaP_MVK,0.11759560414984946,0.7332505693129875,Permutation_RMSE_Decrease,C_reduced_features,CatBoost
ERA5,-0.07315377241549068,0.6482872943123096,Permutation_RMSE_Decrease,C_reduced_features,CatBoost
LST,-0.0883348151273625,1.360981510156306,Permutation_RMSE_Decrease,C_reduced_features,CatBoost
Land_Aspect_Degree_30m,-0.12361587701026835,0.6322116402945087,Permutation_RMSE_Decrease,C_reduced_features,CatBoost
longitude,-0.37541470896923385,0.2547251348821893,Permutation_RMSE_Decrease,C_reduced_features,CatBoost
NDVI,-0.5254587778528635,0.715789808670546,Permutation_RMSE_Decrease,C_reduced_features,CatBoost
Land_Khulna_SRTM_DEM,-0.5684420153938845,0.7879049190638474,Permutation_RMSE_Decrease,C_reduced_features,CatBoost
