Feature,Importance,Importance_Std,Importance_Type,Experiment,Model
CHIRPS,39.66828604430982,7.464929598129655,Permutation_RMSE_Decrease,C_reduced_features,LightGBM
GSMaP_Gauge,11.445908646808416,3.229298661313442,Permutation_RMSE_Decrease,C_reduced_features,LightGBM
month_sin,6.321441351572469,1.9838635704585388,Permutation_RMSE_Decrease,C_reduced_features,LightGBM
GSMaP_MVK,3.0984164584531513,1.4654249785530074,Permutation_RMSE_Decrease,C_reduced_features,LightGBM
month_cos,2.81842388495306,1.3963293522180904,Permutation_RMSE_Decrease,C_reduced_features,LightGBM
Distance_Sea_meter,2.6408794031378244,3.2567579712284966,Permutation_RMSE_Decrease,C_reduced_features,LightGBM
IMERG,0.9325696723410909,1.203792276871621,Permutation_RMSE_Decrease,C_reduced_features,LightGBM
ERA5,0.37764721282231856,1.576169917177368,Permutation_RMSE_Decrease,C_reduced_features,LightGBM
Land_Aspect_Degree_30m,0.1892679130526806,0.6203314399729423,Permutation_RMSE_Decrease,C_reduced_features,LightGBM
LST,0.10553196075065993,2.2669635779120987,Permutation_RMSE_Decrease,C_reduced_features,LightGBM
Land_Slope_Degree_30m,0.07778618837301726,0.1460364711279149,Permutation_RMSE_Decrease,C_reduced_features,LightGBM
latitude,-0.05866884298276176,0.22110697942634855,Permutation_RMSE_Decrease,C_reduced_features,LightGBM
Land_Khulna_SRTM_DEM,-0.06121074506031855,0.4366314564291922,Permutation_RMSE_Decrease,C_reduced_features,LightGBM
longitude,-0.17691782111731555,0.6673736328213982,Permutation_RMSE_Decrease,C_reduced_features,LightGBM
NDVI,-0.7356258653104512,2.5045633105524123,Permutation_RMSE_Decrease,C_reduced_features,LightGBM
