Feature,Importance,Importance_Type,Experiment,Model
CHIRPS,0.21475338927003576,Native_Feature_Importance,C_reduced_features,Random_Forest
IMERG,0.19227318858698825,Native_Feature_Importance,C_reduced_features,Random_Forest
GSMaP_Gauge,0.1881275879578275,Native_Feature_Importance,C_reduced_features,Random_Forest
ERA5,0.09481076164086955,Native_Feature_Importance,C_reduced_features,Random_Forest
GSMaP_MVK,0.08052407517828832,Native_Feature_Importance,C_reduced_features,Random_Forest
month_sin,0.0476347821832132,Native_Feature_Importance,C_reduced_features,Random_Forest
month_cos,0.04758154721025291,Native_Feature_Importance,C_reduced_features,Random_Forest
LST,0.04745842539524782,Native_Feature_Importance,C_reduced_features,Random_Forest
NDVI,0.027063481119068783,Native_Feature_Importance,C_reduced_features,Random_Forest
Distance_Sea_meter,0.015752994349921865,Native_Feature_Importance,C_reduced_features,Random_Forest
Land_Aspect_Degree_30m,0.012059600519418597,Native_Feature_Importance,C_reduced_features,Random_Forest
latitude,0.010931301453529434,Native_Feature_Importance,C_reduced_features,Random_Forest
Land_Khulna_SRTM_DEM,0.010238729079908268,Native_Feature_Importance,C_reduced_features,Random_Forest
longitude,0.0056157109708611305,Native_Feature_Importance,C_reduced_features,Random_Forest
Land_Slope_Degree_30m,0.005174425084568734,Native_Feature_Importance,C_reduced_features,Random_Forest
