Feature,Importance,Importance_Std,Importance_Type,Experiment,Model
IMERG,6.442764030741542,3.0871589610818453,Permutation_RMSE_Decrease,C_reduced_features,Random_Forest
CHIRPS,4.015582941347193,2.810884262900102,Permutation_RMSE_Decrease,C_reduced_features,Random_Forest
month_sin,3.7329850104456512,1.1674387790578602,Permutation_RMSE_Decrease,C_reduced_features,Random_Forest
GSMaP_Gauge,2.948754676718695,2.214935685072845,Permutation_RMSE_Decrease,C_reduced_features,Random_Forest
month_cos,2.4599073537087217,1.205989994046028,Permutation_RMSE_Decrease,C_reduced_features,Random_Forest
latitude,0.54227774583894,0.4750122827036887,Permutation_RMSE_Decrease,C_reduced_features,Random_Forest
Distance_Sea_meter,0.2779415006229982,0.7586139647142627,Permutation_RMSE_Decrease,C_reduced_features,Random_Forest
Land_Slope_Degree_30m,0.14509283640813184,0.1639195770254249,Permutation_RMSE_Decrease,C_reduced_features,Random_Forest
longitude,0.012008747501553311,0.1732306440723889,Permutation_RMSE_Decrease,C_reduced_features,Random_Forest
LST,-0.02003190222965093,0.5591036428204972,Permutation_RMSE_Decrease,C_reduced_features,Random_Forest
Land_Aspect_Degree_30m,-0.04186212175246998,0.5956479889809587,Permutation_RMSE_Decrease,C_reduced_features,Random_Forest
Land_Khulna_SRTM_DEM,-0.06851602681582776,0.7133272449022748,Permutation_RMSE_Decrease,C_reduced_features,Random_Forest
NDVI,-0.25319328695184756,0.5440162025415621,Permutation_RMSE_Decrease,C_reduced_features,Random_Forest
GSMaP_MVK,-0.3683439610627024,0.2904513708419854,Permutation_RMSE_Decrease,C_reduced_features,Random_Forest
ERA5,-0.5633199396198421,0.5985695917066794,Permutation_RMSE_Decrease,C_reduced_features,Random_Forest
