Feature,Importance,Importance_Type,Experiment,Model
CHIRPS,0.28939288854599,Native_Feature_Importance,C_reduced_features,XGBoost
GSMaP_Gauge,0.1585121899843216,Native_Feature_Importance,C_reduced_features,XGBoost
IMERG,0.1278422474861145,Native_Feature_Importance,C_reduced_features,XGBoost
Distance_Sea_meter,0.06970763206481934,Native_Feature_Importance,C_reduced_features,XGBoost
month_sin,0.06831546127796173,Native_Feature_Importance,C_reduced_features,XGBoost
GSMaP_MVK,0.04419692978262901,Native_Feature_Importance,C_reduced_features,XGBoost
Land_Aspect_Degree_30m,0.033943332731723785,Native_Feature_Importance,C_reduced_features,XGBoost
ERA5,0.03381679207086563,Native_Feature_Importance,C_reduced_features,XGBoost
LST,0.028954287990927696,Native_Feature_Importance,C_reduced_features,XGBoost
NDVI,0.028283866122364998,Native_Feature_Importance,C_reduced_features,XGBoost
latitude,0.02780051901936531,Native_Feature_Importance,C_reduced_features,XGBoost
month_cos,0.026903394609689713,Native_Feature_Importance,C_reduced_features,XGBoost
Land_Slope_Degree_30m,0.023358244448900223,Native_Feature_Importance,C_reduced_features,XGBoost
longitude,0.02033448964357376,Native_Feature_Importance,C_reduced_features,XGBoost
Land_Khulna_SRTM_DEM,0.01863768696784973,Native_Feature_Importance,C_reduced_features,XGBoost
