Feature,Importance,Importance_Std,Importance_Type,Experiment,Model
CHIRPS,21.748206364241547,5.445594227815491,Permutation_RMSE_Decrease,C_reduced_features,XGBoost
GSMaP_Gauge,10.166674101417458,3.1687122446345333,Permutation_RMSE_Decrease,C_reduced_features,XGBoost
IMERG,3.9194751454866252,3.548171545517447,Permutation_RMSE_Decrease,C_reduced_features,XGBoost
month_sin,3.5541293130271345,1.1330694486282038,Permutation_RMSE_Decrease,C_reduced_features,XGBoost
GSMaP_MVK,0.9987373395659878,0.9348242369053487,Permutation_RMSE_Decrease,C_reduced_features,XGBoost
month_cos,0.7860271735756376,0.6520252243952005,Permutation_RMSE_Decrease,C_reduced_features,XGBoost
Distance_Sea_meter,0.7707430232897773,2.9321829766116214,Permutation_RMSE_Decrease,C_reduced_features,XGBoost
Land_Slope_Degree_30m,0.6740925308252623,0.4091267146655126,Permutation_RMSE_Decrease,C_reduced_features,XGBoost
NDVI,0.6660738803624355,1.5298355930926013,Permutation_RMSE_Decrease,C_reduced_features,XGBoost
LST,0.14580840850416835,1.1756696868600345,Permutation_RMSE_Decrease,C_reduced_features,XGBoost
latitude,0.006971911413101376,0.1724215426201089,Permutation_RMSE_Decrease,C_reduced_features,XGBoost
Land_Khulna_SRTM_DEM,-0.03322025532526946,0.18407262575042171,Permutation_RMSE_Decrease,C_reduced_features,XGBoost
longitude,-0.18974285489118378,0.2164866026326873,Permutation_RMSE_Decrease,C_reduced_features,XGBoost
Land_Aspect_Degree_30m,-0.34735097393565106,0.7645508114406181,Permutation_RMSE_Decrease,C_reduced_features,XGBoost
ERA5,-0.9747177218662361,0.7918781950583721,Permutation_RMSE_Decrease,C_reduced_features,XGBoost
