Feature,Importance,Importance_Type,Experiment,Model
IMERG,18.339071726680277,Native_Feature_Importance,D_without_GSMaP_Gauge,CatBoost
CHIRPS,16.400626983245818,Native_Feature_Importance,D_without_GSMaP_Gauge,CatBoost
month_sin,13.157389983143483,Native_Feature_Importance,D_without_GSMaP_Gauge,CatBoost
CDR,7.799573931007101,Native_Feature_Importance,D_without_GSMaP_Gauge,CatBoost
GSMaP_MVK,6.684369782564791,Native_Feature_Importance,D_without_GSMaP_Gauge,CatBoost
month_cos,5.554702576349639,Native_Feature_Importance,D_without_GSMaP_Gauge,CatBoost
PDIR,5.213228054804252,Native_Feature_Importance,D_without_GSMaP_Gauge,CatBoost
ERA5,4.088685713928671,Native_Feature_Importance,D_without_GSMaP_Gauge,CatBoost
NDVI,3.7301996030842957,Native_Feature_Importance,D_without_GSMaP_Gauge,CatBoost
CCS,3.6765916588497425,Native_Feature_Importance,D_without_GSMaP_Gauge,CatBoost
LST,3.30169716357085,Native_Feature_Importance,D_without_GSMaP_Gauge,CatBoost
Land_Khulna_SRTM_DEM,2.4055965785966644,Native_Feature_Importance,D_without_GSMaP_Gauge,CatBoost
PERSIANN,2.3883438274347384,Native_Feature_Importance,D_without_GSMaP_Gauge,CatBoost
Land_Aspect_Degree_30m,1.8288110461974156,Native_Feature_Importance,D_without_GSMaP_Gauge,CatBoost
Distance_Sea_meter,1.658978732438918,Native_Feature_Importance,D_without_GSMaP_Gauge,CatBoost
latitude,1.4076150750110432,Native_Feature_Importance,D_without_GSMaP_Gauge,CatBoost
longitude,1.3883874797097258,Native_Feature_Importance,D_without_GSMaP_Gauge,CatBoost
Land_Slope_Degree_30m,0.9761300833825732,Native_Feature_Importance,D_without_GSMaP_Gauge,CatBoost
