Feature,Importance,Importance_Type,Experiment,Model
LST,889.0,Native_Feature_Importance,D_without_GSMaP_Gauge,LightGBM
CHIRPS,764.0,Native_Feature_Importance,D_without_GSMaP_Gauge,LightGBM
NDVI,706.0,Native_Feature_Importance,D_without_GSMaP_Gauge,LightGBM
IMERG,664.0,Native_Feature_Importance,D_without_GSMaP_Gauge,LightGBM
ERA5,638.0,Native_Feature_Importance,D_without_GSMaP_Gauge,LightGBM
GSMaP_MVK,574.0,Native_Feature_Importance,D_without_GSMaP_Gauge,LightGBM
CDR,544.0,Native_Feature_Importance,D_without_GSMaP_Gauge,LightGBM
CCS,463.0,Native_Feature_Importance,D_without_GSMaP_Gauge,LightGBM
PERSIANN,433.0,Native_Feature_Importance,D_without_GSMaP_Gauge,LightGBM
PDIR,430.0,Native_Feature_Importance,D_without_GSMaP_Gauge,LightGBM
Distance_Sea_meter,222.0,Native_Feature_Importance,D_without_GSMaP_Gauge,LightGBM
month_cos,197.0,Native_Feature_Importance,D_without_GSMaP_Gauge,LightGBM
month_sin,146.0,Native_Feature_Importance,D_without_GSMaP_Gauge,LightGBM
Land_Khulna_SRTM_DEM,122.0,Native_Feature_Importance,D_without_GSMaP_Gauge,LightGBM
longitude,78.0,Native_Feature_Importance,D_without_GSMaP_Gauge,LightGBM
Land_Aspect_Degree_30m,75.0,Native_Feature_Importance,D_without_GSMaP_Gauge,LightGBM
Land_Slope_Degree_30m,26.0,Native_Feature_Importance,D_without_GSMaP_Gauge,LightGBM
latitude,4.0,Native_Feature_Importance,D_without_GSMaP_Gauge,LightGBM
