Feature,Importance,Importance_Std,Importance_Type,Experiment,Model
CHIRPS,52.10819428169221,8.778832497073134,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,LightGBM
IMERG,12.142369615190653,2.721392126925932,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,LightGBM
CDR,6.402331372325199,1.1658814957415882,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,LightGBM
month_sin,5.69498481316038,2.131242373904331,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,LightGBM
month_cos,5.012553028818989,1.5482172697373924,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,LightGBM
Distance_Sea_meter,4.289329486894099,3.172336340952153,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,LightGBM
PERSIANN,2.0554189559461222,0.7764975669793575,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,LightGBM
LST,1.7074522959040697,1.4484060963857797,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,LightGBM
longitude,0.7081753064988769,0.46419922513840706,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,LightGBM
Land_Aspect_Degree_30m,0.6285062642354996,0.4406887863744291,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,LightGBM
ERA5,0.21036137651995263,0.4274461657652962,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,LightGBM
Land_Slope_Degree_30m,0.15339092240980534,0.14323363943142506,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,LightGBM
Land_Khulna_SRTM_DEM,0.07672078953954914,0.517286797336152,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,LightGBM
GSMaP_MVK,0.0392750377609578,1.1307044974846623,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,LightGBM
latitude,0.022277898337885915,0.019722471654371188,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,LightGBM
CCS,-0.4512327023366249,1.1744853014160914,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,LightGBM
NDVI,-0.5745517426411074,1.7901878981586163,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,LightGBM
PDIR,-0.8750406952243731,1.1028871674207759,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,LightGBM
