Feature,Importance,Importance_Type,Experiment,Model
CHIRPS,0.19646593976862248,Native_Feature_Importance,D_without_GSMaP_Gauge,Random_Forest
IMERG,0.17875681064447335,Native_Feature_Importance,D_without_GSMaP_Gauge,Random_Forest
CDR,0.13770761551560232,Native_Feature_Importance,D_without_GSMaP_Gauge,Random_Forest
PDIR,0.10055441864576513,Native_Feature_Importance,D_without_GSMaP_Gauge,Random_Forest
ERA5,0.0700459376876911,Native_Feature_Importance,D_without_GSMaP_Gauge,Random_Forest
CCS,0.0649644130866217,Native_Feature_Importance,D_without_GSMaP_Gauge,Random_Forest
PERSIANN,0.06220660589953439,Native_Feature_Importance,D_without_GSMaP_Gauge,Random_Forest
GSMaP_MVK,0.04690764826431453,Native_Feature_Importance,D_without_GSMaP_Gauge,Random_Forest
month_sin,0.03359690113303753,Native_Feature_Importance,D_without_GSMaP_Gauge,Random_Forest
month_cos,0.03246341960590172,Native_Feature_Importance,D_without_GSMaP_Gauge,Random_Forest
LST,0.020635253291199623,Native_Feature_Importance,D_without_GSMaP_Gauge,Random_Forest
NDVI,0.019511659948886352,Native_Feature_Importance,D_without_GSMaP_Gauge,Random_Forest
Distance_Sea_meter,0.009275827143745152,Native_Feature_Importance,D_without_GSMaP_Gauge,Random_Forest
Land_Aspect_Degree_30m,0.008859747539899699,Native_Feature_Importance,D_without_GSMaP_Gauge,Random_Forest
Land_Khulna_SRTM_DEM,0.007541966375175233,Native_Feature_Importance,D_without_GSMaP_Gauge,Random_Forest
latitude,0.004301339728322474,Native_Feature_Importance,D_without_GSMaP_Gauge,Random_Forest
longitude,0.0035264030860776906,Native_Feature_Importance,D_without_GSMaP_Gauge,Random_Forest
Land_Slope_Degree_30m,0.0026780926351294043,Native_Feature_Importance,D_without_GSMaP_Gauge,Random_Forest
