Feature,Importance,Importance_Std,Importance_Type,Experiment,Model
IMERG,8.726775056906972,2.392419362888842,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,Random_Forest
CHIRPS,7.526387675065466,2.534224381155832,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,Random_Forest
CDR,6.383764435101724,1.7566461307027017,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,Random_Forest
month_sin,3.3971333593094903,0.6918549438687763,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,Random_Forest
PDIR,2.75774081239019,0.9769873334577883,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,Random_Forest
PERSIANN,0.6340201245700764,0.5319699937930377,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,Random_Forest
month_cos,0.46813786020850284,0.83259684272771,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,Random_Forest
CCS,0.4650780052838821,0.44999304774109694,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,Random_Forest
ERA5,0.4168555417648141,0.2850087262357743,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,Random_Forest
Land_Aspect_Degree_30m,0.389672142806819,0.6698030141640994,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,Random_Forest
Distance_Sea_meter,0.36176790507101086,0.623057580444936,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,Random_Forest
Land_Khulna_SRTM_DEM,0.3561666040694476,0.5916626376773828,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,Random_Forest
longitude,0.1618839832475018,0.08017031904428011,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,Random_Forest
Land_Slope_Degree_30m,0.1293189141743653,0.07170070523280246,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,Random_Forest
latitude,0.11437646403723013,0.23791740568349876,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,Random_Forest
LST,-0.1810227631780582,0.3841657638490322,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,Random_Forest
GSMaP_MVK,-0.2585757211205518,0.3133756794415895,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,Random_Forest
NDVI,-0.8495284774453263,0.5083486476144765,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,Random_Forest
