Feature,Importance,Importance_Type,Experiment,Model
CHIRPS,0.2967309355735779,Native_Feature_Importance,D_without_GSMaP_Gauge,XGBoost
IMERG,0.14782144129276276,Native_Feature_Importance,D_without_GSMaP_Gauge,XGBoost
CDR,0.1256786584854126,Native_Feature_Importance,D_without_GSMaP_Gauge,XGBoost
month_sin,0.0773267149925232,Native_Feature_Importance,D_without_GSMaP_Gauge,XGBoost
PDIR,0.05142807215452194,Native_Feature_Importance,D_without_GSMaP_Gauge,XGBoost
Distance_Sea_meter,0.04868080094456673,Native_Feature_Importance,D_without_GSMaP_Gauge,XGBoost
GSMaP_MVK,0.042063694447278976,Native_Feature_Importance,D_without_GSMaP_Gauge,XGBoost
month_cos,0.03345843032002449,Native_Feature_Importance,D_without_GSMaP_Gauge,XGBoost
CCS,0.025621479377150536,Native_Feature_Importance,D_without_GSMaP_Gauge,XGBoost
ERA5,0.022159352898597717,Native_Feature_Importance,D_without_GSMaP_Gauge,XGBoost
NDVI,0.021289700642228127,Native_Feature_Importance,D_without_GSMaP_Gauge,XGBoost
Land_Aspect_Degree_30m,0.020890483632683754,Native_Feature_Importance,D_without_GSMaP_Gauge,XGBoost
PERSIANN,0.020519860088825226,Native_Feature_Importance,D_without_GSMaP_Gauge,XGBoost
longitude,0.016398822888731956,Native_Feature_Importance,D_without_GSMaP_Gauge,XGBoost
LST,0.015160707756876945,Native_Feature_Importance,D_without_GSMaP_Gauge,XGBoost
Land_Khulna_SRTM_DEM,0.013280262239277363,Native_Feature_Importance,D_without_GSMaP_Gauge,XGBoost
Land_Slope_Degree_30m,0.011706212535500526,Native_Feature_Importance,D_without_GSMaP_Gauge,XGBoost
latitude,0.009784339927136898,Native_Feature_Importance,D_without_GSMaP_Gauge,XGBoost
