Feature,Importance,Importance_Std,Importance_Type,Experiment,Model
CHIRPS,28.61146918412537,6.573692855300929,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,XGBoost
IMERG,13.86604385597932,4.081835227351328,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,XGBoost
month_sin,7.233612893362709,1.2805132120859082,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,XGBoost
CDR,5.28231402129084,1.3021284473218797,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,XGBoost
Distance_Sea_meter,2.918025229352872,3.3650440431168014,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,XGBoost
GSMaP_MVK,0.37738600263357397,0.9652578507900599,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,XGBoost
PERSIANN,0.3113814067555263,0.4894893544067138,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,XGBoost
longitude,0.3086411393552704,0.11472937418469305,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,XGBoost
Land_Slope_Degree_30m,0.2331266256205249,0.12205286798103414,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,XGBoost
LST,0.22921428580576256,0.8014985674127042,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,XGBoost
Land_Khulna_SRTM_DEM,0.06967951879071706,0.12565242478878494,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,XGBoost
latitude,0.01568678103029318,0.039409188876953126,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,XGBoost
Land_Aspect_Degree_30m,-0.4800262776200569,0.7156604488320762,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,XGBoost
NDVI,-0.6927051834566048,1.2574708139435409,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,XGBoost
month_cos,-0.7334882751186096,1.2749557419930067,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,XGBoost
ERA5,-1.2264170321620231,0.6882513190868015,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,XGBoost
PDIR,-1.2318257501835908,1.0691246341123686,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,XGBoost
CCS,-1.2657634271366889,1.2956598094689105,Permutation_RMSE_Decrease,D_without_GSMaP_Gauge,XGBoost
