Feature,Importance,Importance_Type,Experiment,Model
IMERG,35.26583795514798,Native_Feature_Importance,E_correlation_reduced,CatBoost
PDIR,17.412568174885582,Native_Feature_Importance,E_correlation_reduced,CatBoost
month_sin,13.823761214643737,Native_Feature_Importance,E_correlation_reduced,CatBoost
month_cos,8.60206775732198,Native_Feature_Importance,E_correlation_reduced,CatBoost
GSMaP_MVK,6.895153293590674,Native_Feature_Importance,E_correlation_reduced,CatBoost
NDVI,4.130795480805014,Native_Feature_Importance,E_correlation_reduced,CatBoost
LST,3.953880859422465,Native_Feature_Importance,E_correlation_reduced,CatBoost
Land_Khulna_SRTM_DEM,2.7587416829038407,Native_Feature_Importance,E_correlation_reduced,CatBoost
Land_Aspect_Degree_30m,2.268721679412834,Native_Feature_Importance,E_correlation_reduced,CatBoost
Distance_Sea_meter,2.260705755521872,Native_Feature_Importance,E_correlation_reduced,CatBoost
Land_Slope_Degree_30m,1.5110486675288308,Native_Feature_Importance,E_correlation_reduced,CatBoost
longitude,1.1167174788151897,Native_Feature_Importance,E_correlation_reduced,CatBoost
