Feature,Importance,Importance_Std,Importance_Type,Experiment,Model
IMERG,30.623743221356843,5.323607737447355,Permutation_RMSE_Decrease,E_correlation_reduced,CatBoost
PDIR,13.514551551366594,2.861862919242436,Permutation_RMSE_Decrease,E_correlation_reduced,CatBoost
month_sin,10.08133937627095,1.9326177740587256,Permutation_RMSE_Decrease,E_correlation_reduced,CatBoost
month_cos,9.467602982982335,2.086035096049157,Permutation_RMSE_Decrease,E_correlation_reduced,CatBoost
GSMaP_MVK,1.8451086888885324,1.0715418856627663,Permutation_RMSE_Decrease,E_correlation_reduced,CatBoost
LST,1.3126524167950886,1.1887382547098873,Permutation_RMSE_Decrease,E_correlation_reduced,CatBoost
Land_Khulna_SRTM_DEM,1.2890595766370814,1.4761609512719187,Permutation_RMSE_Decrease,E_correlation_reduced,CatBoost
Land_Aspect_Degree_30m,0.791602244654068,1.2884198499127744,Permutation_RMSE_Decrease,E_correlation_reduced,CatBoost
Distance_Sea_meter,0.7813564245750594,1.066790460045786,Permutation_RMSE_Decrease,E_correlation_reduced,CatBoost
Land_Slope_Degree_30m,0.5966147589649045,0.3535626327627275,Permutation_RMSE_Decrease,E_correlation_reduced,CatBoost
longitude,0.5907080261225327,0.3706497762384651,Permutation_RMSE_Decrease,E_correlation_reduced,CatBoost
NDVI,0.06644858594275622,0.888658216236213,Permutation_RMSE_Decrease,E_correlation_reduced,CatBoost
