Feature,Importance,Importance_Type,Experiment,Model
IMERG,0.32276502948969943,Native_Feature_Importance,E_correlation_reduced,Random_Forest
PDIR,0.23210749813584625,Native_Feature_Importance,E_correlation_reduced,Random_Forest
GSMaP_MVK,0.12832926405446776,Native_Feature_Importance,E_correlation_reduced,Random_Forest
month_sin,0.08830424359172043,Native_Feature_Importance,E_correlation_reduced,Random_Forest
month_cos,0.08539885279414378,Native_Feature_Importance,E_correlation_reduced,Random_Forest
LST,0.058880366627904475,Native_Feature_Importance,E_correlation_reduced,Random_Forest
NDVI,0.03447240326864713,Native_Feature_Importance,E_correlation_reduced,Random_Forest
Distance_Sea_meter,0.01455613737766578,Native_Feature_Importance,E_correlation_reduced,Random_Forest
Land_Aspect_Degree_30m,0.013417880423664878,Native_Feature_Importance,E_correlation_reduced,Random_Forest
Land_Khulna_SRTM_DEM,0.011670573084100229,Native_Feature_Importance,E_correlation_reduced,Random_Forest
Land_Slope_Degree_30m,0.005237066075618482,Native_Feature_Importance,E_correlation_reduced,Random_Forest
longitude,0.004860685076521365,Native_Feature_Importance,E_correlation_reduced,Random_Forest
