Feature,Importance,Importance_Std,Importance_Type,Experiment,Model
IMERG,22.750497157738895,4.372102814853711,Permutation_RMSE_Decrease,E_correlation_reduced,Random_Forest
PDIR,15.514753927393288,3.092687327977178,Permutation_RMSE_Decrease,E_correlation_reduced,Random_Forest
month_sin,7.396728175109429,1.6555850201461182,Permutation_RMSE_Decrease,E_correlation_reduced,Random_Forest
month_cos,7.142816746627736,1.4500365207336126,Permutation_RMSE_Decrease,E_correlation_reduced,Random_Forest
LST,1.4107657964714364,1.0333141659749672,Permutation_RMSE_Decrease,E_correlation_reduced,Random_Forest
GSMaP_MVK,1.1204666319737564,1.2693909080473595,Permutation_RMSE_Decrease,E_correlation_reduced,Random_Forest
Distance_Sea_meter,0.9679502084232998,1.0389899291813627,Permutation_RMSE_Decrease,E_correlation_reduced,Random_Forest
Land_Khulna_SRTM_DEM,0.933513674855557,1.041274466504822,Permutation_RMSE_Decrease,E_correlation_reduced,Random_Forest
Land_Aspect_Degree_30m,0.7985944585327758,1.0990952517796515,Permutation_RMSE_Decrease,E_correlation_reduced,Random_Forest
Land_Slope_Degree_30m,0.3777800818898863,0.1649248953433992,Permutation_RMSE_Decrease,E_correlation_reduced,Random_Forest
longitude,0.3725013776877006,0.13802581434655817,Permutation_RMSE_Decrease,E_correlation_reduced,Random_Forest
NDVI,-0.6837325097456793,0.8551632575192697,Permutation_RMSE_Decrease,E_correlation_reduced,Random_Forest
