Feature,Importance,Importance_Type,Experiment,Model
IMERG,0.3532467186450958,Native_Feature_Importance,E_correlation_reduced,XGBoost
PDIR,0.15276667475700378,Native_Feature_Importance,E_correlation_reduced,XGBoost
month_sin,0.11766394972801208,Native_Feature_Importance,E_correlation_reduced,XGBoost
GSMaP_MVK,0.06322155892848969,Native_Feature_Importance,E_correlation_reduced,XGBoost
month_cos,0.0623481385409832,Native_Feature_Importance,E_correlation_reduced,XGBoost
Distance_Sea_meter,0.05996745452284813,Native_Feature_Importance,E_correlation_reduced,XGBoost
Land_Aspect_Degree_30m,0.03882291167974472,Native_Feature_Importance,E_correlation_reduced,XGBoost
longitude,0.03517339378595352,Native_Feature_Importance,E_correlation_reduced,XGBoost
Land_Khulna_SRTM_DEM,0.03286047279834747,Native_Feature_Importance,E_correlation_reduced,XGBoost
NDVI,0.032785288989543915,Native_Feature_Importance,E_correlation_reduced,XGBoost
Land_Slope_Degree_30m,0.027901671826839447,Native_Feature_Importance,E_correlation_reduced,XGBoost
LST,0.02324175089597702,Native_Feature_Importance,E_correlation_reduced,XGBoost
